ID,Class,category,x1,x2
PTC0784,11,Polyurethanes,9.116751,17.387865
PTC0039,1,Polyolefins,6.4381504,9.740609
PTC2894,10,Polyamides,8.887422,11.32185
PTC0715,8,Polysulfides,5.6394587,9.767005
PTC0114,9,Polyesters,6.929659,10.743037
PTC4028,3,Polyvinyls,6.513587,9.691774
PTC4367,11,Polyurethanes,6.393326,16.028116
PTC1152,10,Polyamides,-5.8457465,-4.268686
PTC2993,10,Polyamides,-6.5003567,-2.176802
PTC2766,9,Polyesters,-4.703984,-0.71605724
PTC1670,16,Polyimines,0.5451044,9.013892
PTC2655,9,Polyesters,18.384682,8.549014
PTC0080,15,Polycarbonates,9.386422,12.586165
PTC1099,10,Polyamides,23.357872,0.25372186
PTC0795,9,Polyesters,9.742913,12.454986
PTC2391,9,Polyesters,7.340287,18.41938
PTC1320,10,Polyamides,6.123476,13.480724
PTC0628,9,Polyesters,-0.2713297,24.454723
PTC1888,4,Polyacrylics,3.1094363,12.142729
PTC1431,11,Polyurethanes,-4.8062544,11.381816
PTC3679,17,Polyketones,6.780902,3.6661844
PTC1471,12,Polyureas,16.017494,-2.7447813
PTC2001,7,Polyethers,9.744415,18.83386
PTC1297,10,Polyamides,3.4950101,12.434407
PTC0438,7,Polyethers,5.966872,9.701374
PTC4153,7,Polyethers,5.6732535,8.9512005
PTC0212,6,Polydienes,4.970709,10.393022
PTC3339,13,Polyimides,-2.458457,8.57556
PTC0183,2,Polystyrenes,3.3158166,10.555438
PTC1198,10,Polyamides,23.554665,0.44458237
PTC1097,10,Polyamides,23.47441,0.37990826
PTC0723,8,Polysulfides,0.887335,20.159294
PTC3842,17,Polyketones,7.2875257,6.3160067
PTC3045,10,Polyamides,-7.517266,6.028517
PTC0051,10,Polyamides,23.437557,0.3180194
PTC3388,15,Polycarbonates,10.965737,7.145448
PTC1027,9,Polyesters,7.13763,13.444631
PTC1279,10,Polyamides,4.014322,4.8997445
PTC0215,6,Polydienes,15.284704,2.1853733
PTC0045,10,Polyamides,7.0815773,10.852394
PTC0398,6,Polydienes,4.9046335,10.362801
PTC1987,9,Polyesters,22.643538,0.88973445
PTC0522,14,Polyanhydrides,4.5182867,5.9683557
PTC1469,12,Polyureas,15.987209,-2.7162392
PTC1867,5,Polyhalo-olefins,4.0322375,23.132025
PTC2494,8,Polysulfides,17.90323,12.390035
PTC0545,9,Polyesters,-0.27145442,24.455658
PTC0966,9,Polyesters,13.158915,22.676498
PTC0754,14,Polyanhydrides,3.1689913,20.826637
PTC2663,9,Polyesters,-0.71714944,12.94021
PTC4027,3,Polyvinyls,6.532167,9.705285
PTC3452,15,Polycarbonates,6.321883,12.126697
PTC0906,9,Polyesters,17.73019,2.0374575
PTC4360,10,Polyamides,-2.7037005,19.314615
PTC2174,7,Polyethers,8.508507,10.096183
PTC2499,8,Polysulfides,18.028645,12.671441
PTC1881,4,Polyacrylics,2.4060159,12.540566
PTC2983,10,Polyamides,5.8040276,14.12632
PTC0781,8,Polysulfides,9.202314,17.578547
PTC0887,9,Polyesters,5.703896,20.66768
PTC1156,10,Polyamides,1.5665694,14.81641
PTC0936,9,Polyesters,2.462508,-9.991477
PTC0601,17,Polyketones,8.4805765,2.5851536
PTC4400,9,Polyesters,7.411369,18.346893
PTC1204,10,Polyamides,23.464529,0.34448704
PTC0659,9,Polyesters,11.239577,11.505866
PTC1850,4,Polyacrylics,14.476627,11.748465
PTC1038,9,Polyesters,11.884842,7.710574
PTC1076,9,Polyesters,17.729992,2.03751
PTC4508,9,Polyesters,12.0296335,7.4178495
PTC4220,11,Polyurethanes,7.021131,10.830522
PTC2845,9,Polyesters,18.437733,10.652006
PTC1187,10,Polyamides,23.440443,0.31698442
PTC1403,11,Polyurethanes,14.717194,8.577333
